word1,word2,PMI_score
preston,chase,20.0
spray,berry,20.0
st,augustine,20.0
terrell,mill,20.0
united,training,20.0
door,open,19.037160465841115
sandy,plains,19.037160465841115
test,scores,19.037160465841115
windy,hill,19.037160465841115
break,ins,18.35401494459581
improved,greatly,17.824126111496472
resale,value,17.824126111496472
property,values,17.391175410436926
shopping,center,17.391175410436926
90,s,17.025120808481983
feel,unsafe,17.025120808481983
take,care,17.025120808481983
after,moving,16.861286577337587
town,center,16.708029889191625
low,crime,16.428335876278044
next,year,16.428335876278044
run,down,16.428335876278044
slows,down,16.428335876278044
drive,through,16.178141056092283
further,into,16.178141056092283
mill,road,15.951812310934477
who,cares,15.951812310934477
canton,rd,15.812086454137342
customers,were,15.745190355032738
right,near,15.465496342119158
augustine,place,15.379135753077794
decent,place,15.379135753077794
sounds,like,15.215301521933398
car,break,15.062044833787436
some,sketch,15.062044833787436
all,hours,14.918082304186187
last,couple,14.849246919978452
real,thing,14.782350820873855
walk,down,14.782350820873855
gotten,worse,14.532156000688095
we,wanted,14.532156000688095
that's,probably,14.416296218918909
gone,up,14.30582725553029
grew,up,14.30582725553029
has,improved,14.252461987774513
worried,about,14.09920529962855
worry,about,14.09920529962855
how,much,13.939772653575343
pope,lassiter,13.939772653575343
at,least,13.909131525515676
good,investment,13.569316466529209
3,years,13.237430144380522
as,long,13.203261864574264
long,as,13.203261864574264
has,gotten,13.136365765469666
snob,thing,13.136365765469666
wasn't,very,13.136365765469666
think,you'll,13.050005176428302
more,than,13.04576850362419
i'm,sure,13.03942763342987
15,years,12.987235324194764
years,ago,12.987235324194764
pretty,much,12.97693311941646
my,husband,12.94629199135679
based,on,12.886170945283904
be,able,12.886170945283904
depends,on,12.886170945283904
franklin,rd,12.886170945283904
don't,leave,12.77031116351472
never,had,12.77031116351472
have,kids,12.70341506441012
wrong,with,12.686981403827753
cobb,county,12.659842200126098
franklin,road,12.659842200126098
several,years,12.554284623135219
east,cobb,12.474710476656117
i've,lived,12.453220244224362
off,franklin,12.453220244224362
high,school,12.43351345496829
better,than,12.380148187212518
lassiter,walton,12.380148187212518
much,better,12.380148187212518
school,district,12.380148187212518
sprayberry,high,12.380148187212518
too,bad,12.356282112184566
cobb,snob,12.342751280835742
you,should,12.32482927518628
your,car,12.32482927518628
as,well,12.24042233041538
be,smart,12.203025424038604
should,be,12.203025424038604
sprayberry,district,12.173526231310781
high,schools,12.12995336702676
school,districts,12.12995336702676
just,bought,12.087165642269417
don't,know,12.087165642269417
you'll,be,12.087165642269415
couple,years,12.02439579003588
back,out,11.923331411125021
or,less,11.923331411125021
other,schools,11.923331411125021
yes,east,11.923331411125021
so,far,11.845466911564634
around,here,11.807471629355835
perspective,for,11.751594828339178
results,but,11.733257637012148
it's,actually,11.697002665967213
no,one,11.697002665967213
was,getting,11.614500167907428
live,off,11.591445088976334
what,we,11.557276809170078
be,fine,11.490380710065478
had,no,11.490380710065478
people,who,11.446807845781455
care,of,11.33094806401227
kind,of,11.33094806401227
lack,of,11.33094806401227
of,money,11.33094806401227
part,of,11.33094806401227
lots,of,11.330948064012269
hoping,it,11.300306935952603
it,depends,11.300306935952603
it,slows,11.300306935952603
sold,my,11.300306935952603
berry,is,11.270056151360045
some,people,11.240185889879719
think,you're,11.240185889879717
we,were,11.240185889879717
years,since,11.22539048702139
was,approved,11.181549466847882
don't,think,11.124326108110532
had,an,11.12432610811053
just,wasn't,11.12432610811053
for,several,11.068449307093873
you,want,10.99593513907245
at,night,10.934252333997657
you,need,10.832100907928055
or,anything,10.807235188820174
into,east,10.710297056780378
if,you,10.636813839785376
live,around,10.62860555481745
moved,here,10.594437275011192
lot,of,10.574730485755122
it's,been,10.48396831162257
so,much,10.406103812062181
where,you,10.399150206868512
intersection,of,10.368108529853385
same,area,10.357850827178261
i'm,not,10.352738544306408
it,doesn't,10.337467401793717
would,be,10.277346355720836
