word1,word2,word3,PMI_score
terrell,mill,road,19.999999999999996
st,augustine,place,19.543982246383575
car,break,ins,18.524783883608546
has,improved,greatly,17.33613624742058
hoping,it,slows,16.29604354686229
spray,berry,is,16.2719550895197
has,gotten,worse,14.714766829888163
further,into,east,14.515538699624575
at,all,hours,14.32673932561467
take,care,of,13.951570371925301
kind,of,ghetto,13.821110486625374
you'll,be,fine,13.656579079000124
it,slows,down,13.45195602830236
to,take,care,13.096903416775517
sprayberry,high,school,12.621688357869829
sold,my,house,12.61648637844184
as,long,as,12.399163197848505
grew,up,there,12.3058027271614
don't,have,kids,12.001139196628163
cobb,snob,thing,11.913173646375233
decent,place,to,11.786218708009308
miles,and,miles,11.71126145841541
for,several,years,11.493138398904692
east,cobb,snob,11.461448558233474
you,should,be,11.447177408760977
someone,to,take,11.364272476718206
think,you'll,be,11.257927762495223
the,customers,were,11.026226659635274
area,has,improved,10.968854841630021
yes,east,cobb,10.947244111214783
and,that's,probably,10.730264765212723
it,depends,on,10.631358480506357
isn't,the,best,10.604280428344172
on,franklin,road,10.403260807345436
bought,a,house,10.354473893015447
when,i,sold,10.323321321371711
the,last,couple,10.312794082352998
down,the,street,10.259525254738412
walk,down,the,10.259525254738412
a,good,investment,10.224014007715517
so,far,but,10.147409372218005
into,east,cobb,9.981314576054334
as,a,whole,9.932527661724341
be,able,to,9.801090810073825
i,grew,up,9.721151324100099
over,the,last,9.588587012503144
pope,lassiter,and,9.584111464071759
in,your,car,9.369791295097908
lassiter,and,walton,9.108896405166073
other,schools,in,9.050081763532225
just,bought,a,9.043789184249238
the,pope,lassiter,8.821885607606278
my,husband,and,8.793010774457645
used,to,live,8.770110986572414
lot,of,people,8.742903059185789
i,just,bought,8.721150266614327
i've,lived,in,8.705326589926464
east,cobb,schools,8.670629867288127
want,to,live,8.478624640581236
anything,i,think,8.468653308736156
there,are,some,8.43193529426504
living,in,marietta,8.391462251050811
and,you,should,8.298144993946057
the,sprayberry,district,8.182139141075345
you,need,to,8.16545130055468
i,sold,my,8.09458098462546
need,to,be,8.068459870016511
i,think,you're,8.046707077445053
i,don't,know,7.9544488617174665
i,don't,think,7.9544488617174665
not,the,worst,7.920908133814509
a,lot,of,7.839449189706011
you,want,to,7.529209780957746
same,area,and,7.498557223973269
are,a,little,7.480607517604857
for,a,year,7.465892125600186
there,is,no,7.267073107914893
a,good,school,7.223192693939004
have,lived,in,7.171923780132745
wife,and,i,6.975060776293205
still,a,good,6.944025077701687
but,it,definitely,6.869215333966381
the,intersection,of,6.744499493943209
the,same,area,6.7363313675077885
in,the,state,6.672226302045549
in,the,80,6.672226302045547
in,east,cobb,6.593243753625056
not,east,cobb,6.531240876627808
it,used,to,6.4608938948249515
but,it's,not,6.379886653544631
year,but,i,6.36195004456815
that,area,has,6.270099310434535
husband,and,i,6.208359371396343
a,nice,area,6.133346845851618
the,schools,are,6.1282429981762
east,cobb,was,6.002568736005184
live,here,i,5.957539503055608
a,bad,area,5.93411871558803
most,of,the,5.778569958782758
the,best,but,5.754170674065503
this,area,is,5.749901456403001
due,to,the,5.6906044085298335
east,cobb,i,5.589869067537884
east,cobb,is,5.529062595724181
it's,still,a,5.45311660295497
the,end,of,5.433814785177001
up,in,east,5.282559044858848
the,east,cobb,5.2735760430264165
i,lived,there,5.250493466065529
cobb,i,think,5.245113893932127
to,live,there,5.230685941059951
east,cobb,but,5.1312048217756665
the,city,is,5.09384069712598
is,a,very,5.005060622488501
in,this,area,4.959414601668324
of,east,cobb,4.810848932887163
to,get,a,4.674096468304249
it's,not,a,4.317102298381822
one,of,the,4.287661484036039
in,the,sprayberry,4.250085014776715
it's,not,the,4.1533854151411305
is,a,good,4.039131087328049
a,house,in,3.9230874217626495
the,area,has,3.8922438489478544
the,sprayberry,area,3.8922438489478544
to,live,in,3.872127325113341
schools,in,the,3.628910653222025
and,when,i,3.586989953863924
in,that,area,3.4495017626385325
and,it,was,3.3043520953787024
i,lived,in,3.125233445222051
live,in,the,2.8206489307481313
lived,in,the,2.5174540747194043
in,the,area,2.037575836312301
that,is,a,1.961744973664982
to,be,a,1.9222671654718997
i,was,a,1.4318764278588132
area,and,the,0.0
